Empresa	Mercado	Mes	Año	Per	GM	TM	PR	D	CV	RM	CUV	OP	E1	E2	E3	E4	E56	Día
CEDENAR S.A. E.S.P.	NARIÑO	Feb-23	2023	2	324,660	48,710	72,810	276,700	148,250	21,440	892,560	828,330	333,200	416,500	704,080	828,330	994,000	25
CEDENAR S.A. E.S.P.	NARIÑO	Mar-23	2023	3	377,450	52,367	81,730	279,310	152,910	17,480	961,260	842,080	338,740	423,420	715,770	842,080	1010,500	25
CEDENAR S.A. E.S.P.	NARIÑO	Abr-23	2023	4	338,120	53,520	75,570	266,480	157,770	40,990	932,460	853,450	342,300	427,870	725,430	853,450	1024,140	25
CEDENAR S.A. E.S.P.	NARIÑO	May-23	2023	5	266,070	48,530	63,260	262,120	165,290	39,120	844,400	862,670	347,450	434,310	733,270	862,670	1035,200	25
CEDENAR S.A. E.S.P.	NARIÑO	Jun-23	2023	6	362,011	50,703	77,928	263,884	152,139	16,472	923,138	869,051	348,964	436,206	738,694	869,051	1042,862	25
CEDENAR S.A. E.S.P.	NARIÑO	Jul-23	2023	7	326,270	40,870	71,790	267,660	160,360	24,470	891,420	874,270	350,010	437,510	743,130	874,270	1049,120	25
CEDENAR S.A. E.S.P.	NARIÑO	Ago-23	2023	8	317,270	46,960	71,170	259,750	152,830	13,320	861,300	881,260	352,500	440,630	749,070	881,260	1057,510	25
CEDENAR S.A. E.S.P.	NARIÑO	Sep-23	2023	9	313,343	47,020	69,580	258,130	156,571	18,369	863,012	890,072	356,029	445,036	756,562	890,072	1068,087	25
CEDENAR S.A. E.S.P.	NARIÑO	Oct-23	2023	10	287,080	48,600	65,980	277,340	155,980	0,440	835,420	916,770	366,710	458,390	779,260	916,770	1100,130	25
CEDENAR S.A. E.S.P.	NARIÑO	Nov-23	2023	11	291,410	46,250	56,470	276,750	153,660	3,110	827,650	925,940	370,380	462,970	787,050	925,940	1111,130	25
CEDENAR S.A. E.S.P.	NARIÑO	Dic-23	2023	12	284,600	51,240	57,290	267,320	158,090	20,810	839,330	931,500	372,600	465,750	791,770	931,500	1117,800	25
CEDENAR S.A. E.S.P.	NARIÑO	Ene-24	2024	1	369,030	54,320	70,060	261,910	202,900	13,050	971,270		388,510	485,640	825,580	971,270	1165,530	25
